"type";"amount";"remark";"date";"dateEnd"
"1";-11000.0;"信用卡";"2016-12-08 00:00:00";""
"1";-2200.0;"信用卡";"2016-12-10 12:28:24";""
"0";11700.0;"工资";"2016-12-15 12:31:18";""
"1";-200.0;"燃气";"2016-12-24 12:31:28";""
"1";-8810.0;"信用卡";"2016-12-25 12:31:36";""
"1";-2705.0;"信用卡";"2016-12-27 12:31:40";""
"0";3003.02;"工资";"2016-12-30 12:31:50";""
"1";-500.0;"房租";"2016-12-30 12:31:58";""
"1";-2800.0;"信用卡";"2016-12-30 12:32:03";""
"1";-2073.97;"花呗";"2017-01-09 12:32:07";""
"1";-9160.0;"房租";"2017-01-09 12:32:14";""
"1";-100.0;"生活费 4*25";"2017-01-10 12:32:18";""
"1";-1250.0;"信用卡-广发";"2017-01-13 12:32:22";""
"0";11833.06;"工资";"2017-01-13 12:32:28";""
"1";-1062.0;"白条";"2017-01-14 12:32:31";""
"1";-50.0;"生活费";"2017-02-27 13:01:03";""
"0";6600.0;"工资";"2017-02-15 14:32:35";""
"1";-100.0;"生活费";"2017-01-15 12:34:14";""
"1";-16500.0;"信用卡-招行(提前还1月25:10045.89；1月27:3975.61)";"2017-01-13 12:37:38";""
"1";-220.0;"青塔房子乱收费";"2017-01-20 17:22:32";""
"1";-100.0;"生活费";"2017-01-21 09:33:33";""
"1";-700.0;"搬家";"2017-01-21 09:33:40";""
"1";-200.0;"电费";"2017-01-22 14:25:50";""
"1";-360.0;"信用卡";"2017-02-04 17:42:36";""
"0";1179.0;"洗衣机";"2017-02-27 13:03:57";""
"0";17008.0;"电脑";"2017-02-27 13:04:01";""
"0";5500.0;"工资";"2017-03-16 13:10:21";""
"1";-399.0;"衣服";"2017-03-22 17:22:34";""
"1";-664.0;"鞋";"2017-03-22 17:22:38";""
"1";-300.0;"摩拜押金";"2017-03-22 17:22:55";""
"1";-5000.0;"还钱";"2017-03-22 17:27:48";""
"1";-100.0;"生活费";"2017-03-30 14:47:56";""
"1";-100.0;"生活费";"2017-04-02 09:15:08";""
"0";3000.0;"工资";"2017-03-31 09:16:59";""
"1";-200.0;"还白条";"2017-04-09 09:53:03";""
"0";2000.0;"工资";"2017-04-16 14:54:22";""
"1";-200.0;"交友";"2017-04-21 15:59:03";""
"1";-3000.0;"信用卡";"2017-04-29 09:33:17";""
"1";-920.0;"白条";"2017-05-07 09:33:54";""
"1";-100.0;"";"2017-04-10 09:35:17";""
"0";9800.0;"工资";"2017-05-15 14:31:32";""
"0";2000.0;"工资";"2017-05-15 16:19:02";""
"1";-3000.0;"还钱";"2017-05-25 15:23:02";""
"0";2000.0;"工资";"2017-05-31 15:41:55";""
"1";-2950.0;"还钱";"2017-06-06 15:07:39";""
"1";-100.0;"还钱";"2017-06-07 15:08:15";""
"1";-2000.0;"还钱";"2017-06-13 11:49:19";""
"0";9800.0;"工资";"2017-06-15 13:40:23";""
"1";-7100.0;"印度药";"2017-06-15 13:40:57";""
"0";2000.0;"工资";"2017-06-15 17:54:17";""
"1";-240.0;"";"2017-06-26 11:04:41";""
"1";-120.0;"";"2017-06-26 11:04:48";""
"1";-3000.0;"";"2017-06-26 11:04:51";""
"0";3000.0;"";"2017-07-11 16:43:27";""
"1";-3700.0;"";"";""
"1";-100.0;"";"2017-07-21 13:45:12";""
"1";-100.0;"";"";""
"1";-300.0;"";"2017-07-24 09:48:02";""
"1";-4200.0;"";"2017-08-07 15:33:14";""
"0";9000.0;"";"2017-08-16 15:44:31";""
"1";-500.0;"";"2017-08-25 09:38:49";""
"1";-3900.0;"";"2017-09-11 14:56:28";""
"1";-1250.0;"";"2017-09-14 11:41:25";""
"0";6500.0;"";"2017-09-15 17:05:44";""
"1";-300.0;"";"2017-09-20 14:04:16";""
"1";-1720.0;"";"2017-10-10 12:44:03";""
"1";-1000.0;"";"2017-10-11 12:29:42";""
"1";-500.0;"";"2017-10-26 09:34:37";""
"1";-2000.0;"";"2017-11-10 13:42:12";""
"1";-3100.0;"";"2017-11-13 17:46:33";""
"0";9200.0;"";"2017-11-15 14:56:23";""
"0";2000.0;"";"2017-11-15 15:59:04";""
"1";-3400.0;"";"2017-11-27 10:38:56";""
"1";-3752.0;"";"2017-12-07 17:37:41";""
"1";-1250.0;"";"2017-12-13 15:23:15";""
"0";9000.0;"";"2017-12-15 15:55:50";""
"1";-400.0;"";"2017-12-25 10:50:11";""
"1";-2500.0;"";"2018-01-09 10:31:04";""
"1";-200.0;"";"2018-01-14 17:15:36";""
"0";2469.46;"";"2018-01-15 17:15:50";""
"0";6648.2;"";"2018-01-15 17:16:03";""
"1";-6800.0;"";"2018-01-11 17:17:53";""
"1";-10000.0;"";"2018-01-19 13:47:07";""
"1";-300.0;"";"2018-01-26 13:41:51";""
"1";-4352.44;"";"2018-02-10 13:25:09";""
"0";6000.0;"";"2018-02-24 09:53:22";""
"1";-2890.0;"";"2018-03-12 10:22:37";""
"1";-100.0;"";"2018-03-13 15:23:57";""
"1";-2500.0;"";"2018-03-13 11:03:26";""
"0";9000.0;"";"2018-03-15 13:06:58";""
"0";1000.0;"";"2018-03-15 14:19:40";""
"0";2500.0;"";"2018-03-15 14:21:31";""
"0";9500.0;"";"2018-03-16 09:28:59";""
"0";1200.0;"";"2018-03-16 09:59:32";""
"1";-50.0;"";"2018-03-28 13:07:04";""
"1";-130.0;"";"2018-04-11 09:28:59";""
"1";-6750.0;"";"2018-04-11 09:38:57";""
"0";9000.0;"";"2018-04-13 16:10:54";""
"1";-100.0;"";"2018-04-19 16:06:39";""
"1";-200.0;"";"2018-04-14 16:08:13";""
"1";-1100.0;"";"2018-04-25 13:11:24";""
"1";-290.0;"";"2018-05-02 15:49:43";""
"1";-500.0;"";"2018-05-10 14:06:49";""
"1";-1500.0;"";"2018-05-14 10:09:57";""
"0";10000.0;"";"2018-05-15 14:48:52";""
"1";-100.0;"";"2018-05-29 20:05:26";""
"1";-210.0;"";"2018-06-12 20:06:02";""
"1";-2100.0;"";"2018-07-07 20:06:27";""
"1";-3000.0;"";"2018-06-22 20:06:50";""
"1";-2300.0;"";"2018-06-14 20:07:07";""
"0";10000.0;"";"2018-06-15 20:08:05";""
"1";-7400.0;"";"2018-06-09 20:08:25";""
